Model Title,t_go_to_start_bay.mean,t_go_to_start_bay.std,t_couple_trolley.mean,t_couple_trolley.std,t_undock_trolley.mean,t_undock_trolley.std,t_exit_start_bay.mean,t_exit_start_bay.std,t_go_to_end_bay.mean,t_go_to_end_bay.std,t_visual_align.mean,t_visual_align.std,t_drop_trolley.mean,t_drop_trolley.std,t_undock_robot.mean,t_undock_robot.std,d_navigation.mean,d_navigation.std,n_estop.k,n_joy_twist.k,n_joystick.k,n_navigation_failure.k,t_navigation_failures.mean,t_navigation_failures.std,navigation_failure_per_meter.k,navigation_speed.mean,navigation_speed.std,obstacle_per_meter.k,total_go_to_start_bay.mean,total_go_to_start_bay.std,total_couple_trolley_and_exit_bay.mean,total_couple_trolley_and_exit_bay.std,total_go_to_end_bay.mean,total_go_to_end_bay.std,total_drop_trolley_in_bay.mean,total_drop_trolley_in_bay.std,total_spent.mean,total_spent.std,meters_per_navigation_failure,meters_per_obstacle
Short run model,202.85106382978722,50.059529976034106,8786.404255319148,4057.7461863913304,937.2765957446809,47.98124727993954,6308.404255319149,1434.565019099673,55757.89361702128,6784.721798445363,8948.659574468085,1656.8504121874662,6420.148936170212,300.14790529347323,1078.2978723404256,75.63037633953898,28.56335778660853,1.412362203137969,0.0,0.0,1.5957446808510638,0.19148936170212766,881.0,188.99617867977003,0.006704021394568126,0.5170044968393421,0.041353637912565175,0.05586684495473438,202.85106382978722,50.059529976034106,16032.08510638298,5068.594835827596,55926.59574468085,7236.723949234813,16447.106382978724,1688.2622216670588,88608.63829787234,7922.467110975641,149.1642017745112,17.899704212941348
Long run model,253.16666666666666,91.06911294908573,8185.222222222223,1071.6520763939695,990.1666666666666,79.08241130477609,6236.333333333333,903.3415743781529,82899.11111111111,5428.02501313414,9423.388888888889,2358.839901752293,6468.0,340.2275382413625,1152.0555555555557,110.95718504711736,46.01506709472482,1.2941102691829314,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,0.0,0.5563462477194024,0.019978779318523324,0.03380535232847427,253.16666666666666,91.06911294908573,15411.722222222223,605.1034627378065,82899.11111111111,5428.02501313414,17043.444444444445,2315.069502729699,115607.44444444444,5600.729309872879,inf,29.581114560894527
