id_start_bay,id_end_bay,t_go_to_start_bay,t_couple_trolley,t_undock_trolley,t_exit_start_bay,t_go_to_end_bay,t_navigation_failures,n_navigation_failure,n_estop,n_joy_twist,n_joystick,d_navigation,t_visual_align,t_drop_trolley,t_undock_robot,sum_navigation_failures,total_go_to_start_bay,total_couple_trolley_and_exit_bay,total_go_to_end_bay,total_drop_trolley_in_bay,total_spent
2,1,167,8685,901,5112,56260,[],0,0,0,1,30.01146729011823,7601,6114,1024,0,167,14698,56260,14739,85864
1,2,176,7480,904,6011,54171,[],0,0,0,1,27.082256542473985,9301,6607,1115,0,176,14395,54171,17023,85765
2,1,303,8626,905,5015,55071,[],0,0,0,1,29.601723311265502,8100,6313,1052,0,303,14546,55071,15465,85385
1,2,188,6880,902,6926,49432,[],0,0,0,1,27.283862605845187,9603,6107,1138,0,188,14708,49432,16848,81176
2,1,182,8690,905,5013,58843,[],0,0,0,1,29.5036288162027,8900,6113,1119,0,182,14608,58843,16132,89765
1,2,172,7074,903,6909,49950,[],0,0,0,1,27.151761626139823,9402,6209,1095,0,172,14886,49950,16706,81714
2,1,235,8680,902,5124,65770,[],0,0,0,3,31.580770019113892,7904,6108,1089,0,235,14706,65770,15101,95812
1,2,178,6988,902,7412,49453,[],0,0,0,1,27.114843932531127,7705,6704,1017,0,178,15302,49453,15426,80359
2,1,259,8782,902,5218,55281,[],0,0,0,1,29.527409593151464,7202,6310,1063,0,259,14902,55281,14575,85017
1,2,221,7272,903,7509,51285,[],0,0,0,1,27.72888505945798,9400,6102,1018,0,221,15684,51285,16520,83710
2,1,164,8886,899,5119,56458,[],0,0,0,2,29.460825211641506,7903,6710,1425,0,164,14904,56458,16038,87564
1,2,171,6879,1005,7022,49897,[],0,0,0,1,27.16964063848161,15000,6109,1014,0,171,14906,49897,22123,87097
2,1,279,8390,904,4915,55350,[],0,0,0,1,29.449581766732596,8201,6213,1014,0,279,14209,55350,15428,85266
1,2,173,7278,1002,7011,56690,[],0,0,0,4,28.927182097482273,7400,6710,1012,0,173,15291,56690,15122,87276
2,1,173,8781,901,5371,60077,[],0,0,0,2,29.523751440588004,7602,6409,1185,0,173,15053,60077,15196,90499
1,2,177,7787,903,6037,59758,[],0,0,0,4,27.181943479301488,9502,6109,1019,0,177,14727,59758,16630,91292
2,1,173,8878,904,5408,54845,[],0,0,0,1,29.662430199861365,6103,6308,1012,0,173,15190,54845,13423,83631
1,2,281,7088,1005,7011,52830,[],0,0,0,2,27.417295557811922,8702,6709,1152,0,281,15104,52830,16563,84778
2,1,174,9087,903,5115,54878,[],0,0,0,1,29.54189718979129,7702,6308,1018,0,174,15105,54878,15028,85185
1,2,166,7247,1009,7007,49969,[],0,0,0,1,27.12086250052555,9302,6509,1019,0,166,15263,49969,16830,82228
2,1,166,9587,903,5753,56795,[],0,0,0,2,29.36812095184743,8700,6108,1012,0,166,16243,56795,15820,89024
1,2,231,6822,898,7011,49903,[],0,0,0,1,27.188723312822038,9502,6811,1120,0,231,14731,49903,17433,82298
2,1,344,8584,1002,5318,60458,[],0,0,0,2,30.143992129314345,7299,6204,1166,0,344,14904,60458,14669,90375
1,2,167,6885,901,7516,49988,[],0,0,0,1,27.095082478636666,10403,6119,1173,0,167,15302,49988,17695,83152
2,1,221,9375,909,5824,55025,[],0,0,0,1,29.540116921788094,11903,6209,1015,0,221,16108,55025,19127,90481
