id_start_bay,id_end_bay,t_go_to_start_bay,t_couple_trolley,t_undock_trolley,t_exit_start_bay,t_go_to_end_bay,t_navigation_failures,n_navigation_failure,n_estop,n_joy_twist,n_joystick,d_navigation,t_visual_align,t_drop_trolley,t_undock_robot,sum_navigation_failures,total_go_to_start_bay,total_couple_trolley_and_exit_bay,total_go_to_end_bay,total_drop_trolley_in_bay,total_spent
2,1,168,8677,1009,5710,59654,[],0,0,0,3,29.436819428229725,7605,6311,1016,0,168,15396,59654,14932,90150
1,2,171,6976,905,6919,81872,"[880, 831, 1142]",3,0,0,1,27.059823831753963,9902,6126,1024,2853,171,14800,84725,17052,116748
2,1,182,8684,903,5210,60986,[],0,0,0,3,30.5111015715817,8803,6213,1018,0,182,14797,60986,16034,91999
1,2,170,6883,902,7317,50041,[],0,0,0,1,27.26016828712004,9801,6105,1023,0,170,15102,50041,16929,82242
2,1,166,9181,901,5115,65298,[937],1,0,0,1,29.3437537380645,7604,6108,1146,937,166,15197,66235,14858,96456
1,2,164,6377,1005,6610,50660,[],0,0,0,1,27.1940049447048,9300,6909,1013,0,164,13992,50660,17222,82038
2,1,168,9081,901,5508,54481,[],0,0,0,1,29.39725719797159,6603,7114,1073,0,168,15490,54481,14790,84929
1,2,170,6884,902,7413,49890,[],0,0,0,1,27.1554635557583,9404,6108,1114,0,170,15199,49890,16626,81885
2,1,345,8580,1002,5726,67253,[],0,0,0,7,31.687204324847396,7699,6206,1120,0,345,15308,67253,15025,97931
1,2,179,7282,1003,6911,50152,[],0,0,0,1,27.017053446015026,10203,6808,1130,0,179,15196,50152,18141,83668
2,1,246,8780,1004,5313,55423,[],0,0,0,1,29.47315824424777,6703,6317,1117,0,246,15097,55423,14137,84903
1,2,165,7281,1003,7521,50745,[],0,0,0,1,27.65541372103562,9601,6908,1017,0,165,15805,50745,17526,84241
2,1,193,8881,1003,5113,65098,"[572, 917, 575]",3,0,0,2,29.76561032924437,12703,6816,1165,2064,193,14997,67162,20684,103036
1,2,189,17579,904,7513,50326,[],0,0,0,1,27.16428342870597,9602,7009,1062,0,189,25996,50326,17673,94184
2,1,169,8675,1004,5234,54501,[],0,0,0,1,29.61165739948719,6601,6410,1014,0,169,14913,54501,14025,83608
1,2,206,7676,905,7210,50778,[],0,0,0,1,27.349833961549404,9904,6406,1022,0,206,15791,50778,17332,84107
2,1,177,8683,905,5512,54572,[],0,0,0,1,29.46839817843259,11901,6509,1114,0,177,15100,54572,19524,89373
1,2,313,7081,1003,7211,50704,[],0,0,0,1,27.0022241860329,9503,6506,1057,0,313,15295,50704,17066,83378
2,1,174,8977,902,5412,57958,[],0,0,0,2,29.679672428199343,10301,6408,1140,0,174,15291,57958,17849,91272
1,2,249,33962,904,13714,47325,[],0,0,0,1,25.847020635392692,9604,7006,1111,0,249,48580,47325,17721,113875
2,1,165,8888,1004,5208,74116,"[973, 1102]",2,0,0,4,30.60805325086911,7801,6406,1015,2075,165,15100,76191,15222,106678
1,2,264,7182,1001,7408,50351,[],0,0,0,1,27.411785208430768,9097,6806,1083,0,264,15591,50351,16986,83192
